project,repo_url,commit_checked,build_system,test_system,build_command,test_command,confidence,renovate_managers,renovate_validation_status,notes,build_all_command,test_all_command,dry_run_build_status,dry_run_test_status,dry_run_notes
Achilles,https://github.com/doanduyhai/Achilles,c02cdb9a44346f2840e13f470efb27b8aa62271a,Maven,Maven,mvn package -DskipTests,mvn test,high,maven,match,Root multi-module pom; Travis/Maven release commits indicate Maven lifecycle.,mvn -DskipTests package,mvn test,exit_1,exit_1,Root multi-module; Travis uses mvn clean test. Dry-run failed at dependency resolution in achilles-core; actual tests were not executed. Build dry-run: exit_1 in 7.0s. Test dry-run used skip-tests validation: exit_1 in 3.5s.
Bublag Confetti,https://github.com/bublag/confetti,46c636e1da41647def75efd1e2ed59175402e56c,Maven,Maven,mvn package -DskipTests,mvn test,high,maven,match,Tycho/Eclipse-style multi-module Maven poms; Travis present.,mvn -DskipTests verify,mvn verify,exit_1,exit_1,Tycho/Eclipse multi-module; Travis uses mvn clean verify. Dry-run failed with Maven internal/Tycho-era incompatibility; tests skipped. Build dry-run: exit_1 in 2.8s. Test dry-run used skip-tests validation: exit_1 in 5.4s.
GitHub Pull Request Builder,https://github.com/mdelapenya/ghprb-plugin,00a4533f510eb80fd93342ff8ce3987fa6ec8b68,Maven,Maven,mvn package -DskipTests,mvn test,high,maven,match,Jenkins plugin with root pom.xml; Maven release commits.,mvn -DskipTests package,mvn test,exit_1,exit_1,Jenkins HPI plugin. Dry-run failed resolving old Jenkins parent/plugin POM from legacy repos; tests skipped. Build dry-run: exit_1 in 4.1s. Test dry-run used skip-tests validation: exit_1 in 3.1s.
IRC Bot (c2nes/ircbot),https://github.com/c2nes/ircbot,29cfc5b921ceee2a35e7d6077c5660e6db63ef35,Maven,Maven,mvn package -DskipTests,mvn test,high,maven,match,Multi-module Maven root pom.,mvn -DskipTests package,mvn test,exit_1,exit_1,Root multi-module Maven. Dry-run reached compile/lifecycle then failed in brewtab-irc; tests skipped. Build dry-run: exit_1 in 5.1s. Test dry-run used skip-tests validation: exit_1 in 3.9s.
Ikasan,https://github.com/ikasanEIP/ikasan,c2f6c8de5091c66865d1eab5084bfa7ffa913927,Maven,Maven,mvn clean install -DskipTests,mvn test,high,maven,match,Root Maven build; Travis/README use mvn clean install.,mvn -DskipTests clean install,mvn test,exit_1,exit_1,CI/README use clean install. Dry-run failed in module lifecycle; tests skipped. Build dry-run: exit_1 in 4.9s. Test dry-run used skip-tests validation: exit_1 in 4.1s.
JUnit4,https://github.com/junit-team/junit4,41d44734f41aba0cf6ba5a11ff5d32ffed155027,Maven,Maven,mvn verify,mvn test,high,maven;maven-wrapper,match,Root pom; Travis/CONTRIBUTING use mvn verify.,mvn -DskipTests verify,mvn test,exit_1,exit_1,CONTRIBUTING says mvn verify. Dry-run failed compiling under current JDK; tests skipped. Build dry-run: exit_1 in 4.4s. Test dry-run used skip-tests validation: exit_1 in 4.1s.
Lyra,https://github.com/jhalterman/lyra,d5193a03d9206ace1cc695656ab4eefa0643009c,Maven,Maven,mvn package -DskipTests,mvn test,high,maven,match,Root pom; Travis install step is Maven.,mvn -DskipTests package,mvn test,exit_1,exit_1,Single-module bundle. Dry-run failed because source/target 6 unsupported on current JDK; tests skipped. Build dry-run: exit_1 in 3.0s. Test dry-run used skip-tests validation: exit_1 in 2.8s.
OkHttp,https://github.com/square/okhttp,8504f3a00f373f6b924cc4920dc34d4fbae06054,Maven,Maven,mvn package -DskipTests,mvn test,high,gradle;gradle-wrapper;maven;maven-wrapper,match,Root multi-module pom; Travis language java defaults to Maven test.,mvn -DskipTests package,mvn test,exit_1,exit_1,Root Maven multi-module at checked commit. Dry-run failed in okhttp module under current toolchain; tests skipped. Build dry-run: exit_1 in 4.6s. Test dry-run used skip-tests validation: exit_1 in 4.9s.
Passsafe,https://github.com/iweinzierl/passsafe,fb8892f972a0a50b06a81773e0f0f9339a11edc6,Maven,Maven,mvn package -DskipTests,mvn test,high,maven,match,Root multi-module pom including androidapp/shared/swing-gui; README gives Maven dependency setup.,mvn -DskipTests package,mvn test,exit_1,exit_1,Root pom references missing java-gui module while clone has swing-gui; dry-run failed before build; tests skipped. Build dry-run: exit_1 in 2.3s. Test dry-run used skip-tests validation: exit_1 in 2.8s.
PhiCode Philib,https://github.com/PhiCode/philib,fb8e49db71d1ecb5ae12c0a76075eb0f3cda4dd1,Maven,Maven,mvn package -DskipTests,mvn test,high,maven,match,Root pom.xml and Travis badge.,mvn -DskipTests package,mvn test,exit_0,exit_0,"Single-module Maven. Build dry-run passed; test lifecycle validated with -DskipTests, so actual tests were not executed. Build dry-run: exit_0 in 5.0s. Test dry-run used skip-tests validation: exit_0 in 4.3s."
Presto DB,https://github.com/prestodb/presto,b121a3fdd9fe61956b2454caee5483298a346b8b,Maven,Maven,./mvnw clean install -DskipTests,./mvnw test,high,maven;maven-wrapper;npm,match,README requires Maven; Travis uses mvnw test with module splits; docs Makefile is not core build.,./mvnw -DskipTests -Dair.check.skip-all=true -Dmaven.javadoc.skip=true install,./mvnw -Dair.check.skip-all=true -Dmaven.javadoc.skip=true test,exit_1,exit_1,Wrapper present; README says clean install; Travis splits modules. Dry-run failed from old plugin/XStream Java module access on current JDK; tests skipped. Build dry-run: exit_1 in 3.3s. Test dry-run used skip-tests validation: exit_1 in 2.8s.
Spring Boot,https://github.com/spring-projects/spring-boot,f38bd7af377e7867cb7f8956631da5ebe98905f1,Maven,Maven,./mvnw install -DskipTests,./mvnw test,high,gradle;gradle-wrapper;maven;npm,match,Root multi-module Maven build with wrapper; Travis uses ./mvnw install.,./mvnw -DskipTests -Dmaven.test.redirectTestOutputToFile=true -P '!integration' install,./mvnw -Dmaven.test.redirectTestOutputToFile=true -P '!integration' test,exit_1,exit_1,Wrapper and Travis use mvnw install with !integration. Dry-run failed in spring-boot-configuration-metadata under current toolchain; tests skipped. Build dry-run: exit_1 in 28.9s. Test dry-run used skip-tests validation: exit_1 in 6.0s.
TUBAME Migration Tool,https://github.com/TUBAME/migration-tool,8efd59aa2ba30fd6ff90f65a52f80588c8269610,Maven,Maven,mvn -f src/pom.xml package -DskipTests,mvn -f src/pom.xml test,high,maven,match,Main build is under src/pom.xml with many Eclipse/Tycho modules; Ant files only generated/helper resources.,mvn -f src/pom.xml -DskipTests package,mvn -f src/pom.xml test,exit_1,exit_1,Main Tycho build is src/pom.xml. Dry-run failed with Maven/Tycho internal error on current toolchain; tests skipped. Build dry-run: exit_1 in 10.5s. Test dry-run used skip-tests validation: exit_1 in 4.3s.
